message,es,percentage_es,en,percentage_en
"AGENT=;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PERFECT,AGENT,PATIENT",det noun:animate aux::present:perfect:singular participle:trans::perfect det noun:inanimate,4,det noun:animate aux::present:perfect:singular participle:trans::perfect det noun:inanimate,4
"AGENT=pron;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PERFECT,AGENT,PATIENT",pron aux::present:perfect:singular participle:trans::perfect det noun:inanimate,3.5,pron aux::present:perfect:singular participle:trans::perfect det noun:inanimate,3.5
"AGENT=;AGENT-MOD=;ACTION-LINKING=;EVENT-SEM=SIMPLE,PRESENT,AGENT,AGENT-MOD",det noun:animate adj:animate verb:intrans:present,2,det adj:animate noun:animate verb:intrans:present,2
"AGENT=;ACTION-LINKING=;EVENT-SEM=SIMPLE,PRESENT,AGENT",det noun:animate verb:intrans:present,5,det noun:animate verb:intrans:present,5
"AGENT=pron;ACTION-LINKING=;EVENT-SEM=SIMPLE,PRESENT,AGENT",pron verb:intrans:present,4,pron verb:intrans:present,4
"AGENT=;AGENT-MOD=;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,AGENT-MOD,PATIENT",det noun:animate adj:animate verb:trans:present det noun:inanimate,2,det adj:animate noun:animate verb:trans:present det noun:inanimate,2
"AGENT=;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT",det noun:animate verb:trans:present det noun:inanimate,5,det noun:animate verb:trans:present det noun:inanimate,5
"AGENT=pron;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT",pron verb:trans:present det noun:inanimate,3.5,pron verb:trans:present det noun:inanimate,3.5
"AGENT=;ACTION-LINKING=;ATTR=;EVENT-SEM=SIMPLE,PRESENT,AGENT,ATTR",det noun:animate verb:copular:present adj:animate,4,det noun:animate verb:copular:present adj:animate,4
"AGENT=;AGENT-MOD=;ACTION-LINKING=;ATTR=;EVENT-SEM=SIMPLE,PRESENT,AGENT,AGENT-MOD,ATTR",det noun:animate adj:animate verb:copular:present adj:animate,2,det adj:animate noun:animate verb:copular:present adj:animate,2
"AGENT=pron;ACTION-LINKING=;ATTR=;EVENT-SEM=SIMPLE,PRESENT,AGENT,ATTR",pron verb:copular:present adj:animate,3.5,pron verb:copular:present adj:animate,3.5
"AGENT=;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT",det noun:animate verb:possession:present det noun:inanimate,5,det noun:animate verb:possession:present det noun:inanimate,5
"AGENT=;AGENT-MOD=;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,AGENT-MOD,PATIENT",det noun:animate adj:animate verb:possession:present det noun:inanimate,2,det adj:animate noun:animate verb:possession:present det noun:inanimate,2
"AGENT=pron;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT",pron verb:possession:present det noun:inanimate,3.5,pron verb:possession:present det noun:inanimate,3.5
"AGENT=;AGENT-MOD=;ACTION-LINKING=;EVENT-SEM=SIMPLE,PAST,AGENT,AGENT-MOD",det noun:animate adj:animate verb:intrans:past,2,det adj:animate noun:animate verb:intrans:past,2
"AGENT=;ACTION-LINKING=;EVENT-SEM=SIMPLE,PAST,AGENT",det noun:animate verb:intrans:past,4,det noun:animate verb:intrans:past,4
"AGENT=;ACTION-LINKING=;PATIENT=;EVENT-SEM=SIMPLE,PAST,AGENT,PATIENT",det noun:animate verb:trans:past det noun:inanimate,4,det noun:animate verb:trans:past det noun:inanimate,4
"AGENT=;AGENT-MOD=;ACTION-LINKING=;PATIENT=;RECIPIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,AGENT-MOD,PATIENT,RECIPIENT",det noun:animate adj:animate verb:double:present det noun:inanimate prep:to det noun:animate,2,det adj:animate noun:animate verb:double:present det noun:inanimate prep:to det noun:animate,2
"AGENT=;ACTION-LINKING=;PATIENT=;RECIPIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT,RECIPIENT",det noun:animate verb:double:present det noun:inanimate prep:to det noun:animate,5,det noun:animate verb:double:present det noun:inanimate prep:to det noun:animate,5
"AGENT=pron;ACTION-LINKING=;PATIENT=;RECIPIENT=;EVENT-SEM=SIMPLE,PRESENT,AGENT,PATIENT,RECIPIENT",pron verb:double:present det noun:inanimate prep:to det noun:animate,3.5,pron verb:double:present det noun:inanimate prep:to det noun:animate,3.5
