morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,,,,
llega,arrives,ARRIVE,ARRIVE,verb,,,intrans,present,,3rd_singular,,,,,,,
estornuda,sneezes,SNEEZE,SNEEZE,verb,,,intrans,present,,3rd_singular,,,,,,,
muere,dies,DIE,DIE,verb,,,intrans,present,,3rd_singular,,,,,,,
come,eats,EAT,EAT,verb,,,intrans,present,,3rd_singular,,,,,,,
empuja,pushes,PUSH,PUSH,verb,,,trans,present,,3rd_singular,,,,,,,
patea,kicks,KICK,KICK,verb,,,trans,present,,3rd_singular,,,,,,,
lleva,carries,CARRY,CARRY,verb,,,trans,present,,3rd_singular,,,,,,,
da,gives,GIVE,GIVE,verb,,,double,present,,3rd_singular,,,,,,,
tira,throws,THROW,THROW,verb,,,double,present,,3rd_singular,,,,,,,
muestra,shows,SHOW,SHOW,verb,,,double,present,,3rd_singular,,,,,,,
nadó,swam,SWIM,SWIM,verb,,,intrans,past,,3rd_singular,,,,,,,
saltó,jumped,JUMP,JUMP,verb,,,intrans,past,,3rd_singular,,,,,,,
caminó,walked,WALK,WALK,verb,,,intrans,past,,3rd_singular,,,,,,,
corrió,ran,RUN,RUN,verb,,,intrans,past,,3rd_singular,,,,,,,
llegó,arrived,ARRIVE,ARRIVE,verb,,,intrans,past,,3rd_singular,,,,,,,
estornudó,sneezed,SNEEZE,SNEEZE,verb,,,intrans,past,,3rd_singular,,,,,,,
murió,died,DIE,DIE,verb,,,intrans,past,,3rd_singular,,,,,,,
comió,ate,EAT,EAT,verb,,,intrans,past,,3rd_singular,,,,,,,
empujó,pushed,PUSH,PUSH,verb,,,trans,past,,3rd_singular,,,,,,,
pateó,kicked,KICK,KICK,verb,,,trans,past,,3rd_singular,,,,,,,
llevó,carried,CARRY,CARRY,verb,,,trans,past,,3rd_singular,,,,,,,
dio,gave,GIVE,GIVE,verb,,,double,past,,3rd_singular,,,,,,,
tiró,throwed,THROW,THROW,verb,,,double,past,,3rd_singular,,,,,,,
mostró,showed,SHOW,SHOW,verb,,,double,past,,3rd_singular,,,,,,,
nadando,swimming,SWIM,SWIM,participle,,,intrans,,prog,,,,,,,,
saltando,jumping,JUMP,JUMP,participle,,,intrans,,prog,,,,,,,,
caminando,walking,WALK,WALK,participle,,,intrans,,prog,,,,,,,,
corriendo,running,RUN,RUN,participle,,,intrans,,prog,,,,,,,,
llegando,arriving,ARRIVE,ARRIVE,participle,,,intrans,,prog,,,,,,,,
estornudando,sneezing,SNEEZE,SNEEZE,participle,,,intrans,,prog,,,,,,,,
muriendo,dying,DIE,DIE,participle,,,intrans,,prog,,,,,,,,
comiendo,eating,EAT,EAT,participle,,,intrans,,prog,,,,,,,,
empujando,pushing,PUSH,PUSH,participle,,,trans,,prog,,,,,,,,
pateando,kicking,KICK,KICK,participle,,,trans,,prog,,,,,,,,
llevando,carrying,CARRY,CARRY,participle,,,trans,,prog,,,,,,,,
dando,giving,GIVE,GIVE,participle,,,double,,prog,,,,,,,,
tirando,throwing,THROW,THROW,participle,,,double,,prog,,,,,,,,
mostrando,showing,SHOW,SHOW,participle,,,double,,prog,,,,,,,,
nadado,swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
saltado,jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,,,,,
caminado,walked,WALK,WALK,participle,,,intrans,,perfect,,,,,,,,
corrido,run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
llegado,arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
estornudado,sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,,,,,
muerto,died,DIE,DIE,participle,,,intrans,,perfect,,,,,,,,
comido,eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
empujado,pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
pateado,kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
llevado,carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
dado,given,GIVE,GIVE,participle,,,double,,perfect,,,,,,,,
tirado,thrown,THROW,THROW,participle,,,double,,perfect,,,,,,,,
mostrado,shown,SHOW,SHOW,participle,,,double,,perfect,,,,,,,,
-ando,-ing,,,participle_suffix,,,,,prog,,,,,,,,
-ado,-d,,,participle_suffix,,,,,perfect,,,,,,,,
-a,-s,,,verb_suffix,,,,present,,,,,,,,,
-ó,-ed,,,verb_suffix,,,,past,,,,,,,,,
